"study","n","nGene","nSel","MAE","medErr","nAUC","pct2h","K"
"V1",286,10,10,2.74445840457036,2.09618798327022,0.781614219114219,48.6013986013986,10
"V2",249,10,10,2.18529534653342,1.97300514964306,0.82781124497992,50.6024096385542,10
"V3",153,10,10,2.09712882285944,1.84269950617395,0.834831154684096,56.2091503267974,10
"Valid.all",688,10,10,2.39813132978407,1.96823950192132,0.8101683624031,51.0174418604651,10
"V1",286,15,13,2.56762631916196,1.97077820371484,0.796401515151516,50.3496503496504,15
"V2",249,15,13,2.32386367441213,1.99601739594503,0.816348728246319,50.2008032128514,15
"V3",153,15,13,2.10555520170696,1.60968342906837,0.834967320261438,60.7843137254902,15
"Valid.all",688,15,13,2.37664698847399,1.85127194957243,0.812197189922481,52.6162790697674,15
"V1",286,20,19,2.57289394149358,1.90351923488762,0.796255827505827,52.7972027972028,20
"V2",249,20,19,1.96391421820463,1.50767682331785,0.846803882195448,60.6425702811245,20
"V3",153,20,19,1.90954360204129,1.46603156892161,0.851034858387799,66.6666666666667,20
"Valid.all",688,20,19,2.20497453301226,1.61766341001267,0.826732073643411,58.7209302325581,20
"V1",286,25,23,2.57437875990577,1.90129755598657,0.795964452214452,52.0979020979021,25
"V2",249,25,23,1.97225341584841,1.4724863996665,0.846050870147256,59.4377510040161,25
"V3",153,25,23,1.92297924938644,1.40237334382175,0.849673202614379,64.7058823529412,25
"Valid.all",688,25,23,2.21159774859801,1.56668996440008,0.826035610465116,57.5581395348837,25
"V1",286,30,26,2.58251320426303,1.85282150113181,0.795308857808858,54.5454545454545,30
"V2",249,30,26,1.88863735505556,1.46929490431797,0.853246318607764,63.855421686747,30
"V3",153,30,26,1.66110225689769,1.23392828768411,0.871459694989106,73.202614379085,30
"Valid.all",688,30,26,2.12647983013577,1.562489108432,0.833212209302325,62.0639534883721,30
"V1",286,40,37,2.56761129742182,1.79363483402476,0.796037296037296,54.8951048951049,40
"V2",249,40,37,1.99023807584571,1.54454724695687,0.844628514056225,58.6345381526104,40
"V3",153,40,37,1.95414996471665,1.3937860364062,0.847222222222222,62.0915032679739,40
"Valid.all",688,40,37,2.22222537289225,1.65874974620893,0.825006056201551,57.8488372093023,40
"V1",286,50,42,2.36773566592484,1.65089768315644,0.812791375291376,57.6923076923077,50
"V2",249,50,42,1.90769031217565,1.43625224865206,0.851321954484605,60.6425702811245,50
"V3",153,50,42,1.96369099009925,1.62692279914792,0.846132897603486,58.1699346405229,50
"Valid.all",688,50,42,2.11138373498754,1.56610730664215,0.834150920542636,58.8662790697674,50
